"","belongs_to_collection","budget","original_language","production_companies","revenue","runtime","famous_count","Drama","Action","Romance","Adventure","Crime","Science.Fiction","Horror","Family","Fantasy","Animation","History","Documentary","Western","Foreign"
"122","FALSE",2.07e+08,"English","Smaller company",5.5e+08,187,9,"1","1","0","1","0","0","0","0","0","0","0","0","0","0"
"123","FALSE",5e+07,"English","Smaller company",42093706,130,4,"1","0","0","0","1","0","0","1","0","0","0","0","0","0"
"124","TRUE",3.5e+07,"English","NBCUniversal",411348924,126,6,"0","1","0","0","0","0","0","0","1","0","0","0","0","0"
"125","TRUE",1.5e+08,"English","Warner Bros. Entertainment",374218673,140,13,"1","1","0","0","1","0","0","0","0","0","0","0","0","0"
"126","TRUE",1.9e+07,"English","Smaller company",272742922,119,8,"1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"127","FALSE",7e+06,"English","NBCUniversal",60611975,98,6,"1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"128","TRUE",2.2e+07,"English","Smaller company",95708457,121,5,"0","1","0","0","0","0","0","0","1","0","0","0","0","0"
"129","FALSE",2.5e+07,"English","Warner Bros. Entertainment",28341469,142,11,"1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"130","FALSE",1.8e+07,"English","Warner Bros. Entertainment",51973029,160,4,"1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"131","TRUE",1e+08,"English","Smaller company",5.2e+08,137,6,"0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"132","FALSE",4.2e+07,"English","Smaller company",7959291,145,9,"1","0","0","0","1","1","0","0","0","0","0","0","0","0"
"133","TRUE",3e+08,"English","The Walt Disney Studios",9.61e+08,169,11,"0","1","0","1","0","0","0","0","1","0","0","0","0","0"
"134","FALSE",7e+06,"English","Smaller company",50888000,108,3,"0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"135","FALSE",9e+06,"English","The Walt Disney Studios",6153939,116,8,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"136","FALSE",2600000,"English","Smaller company",3166000,105,0,"0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"137","FALSE",3e+06,"English","Smaller company",11718595,100,1,"0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"138","FALSE",350000,"English","Smaller company",2400000,96,0,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"139","TRUE",2e+08,"English","Sony Pictures Entertainment",4.35e+08,109,3,"0","1","0","0","0","1","0","0","0","0","0","0","0","0"
