"","id","original_title","belongs_to_collection","budget","original_language","production_companies","revenue","runtime","famous_count"
"2715",21219,"Mobsters",FALSE,2.3e+07,"English","NBCUniversal",20246790,104,5
"2716",21259,"Testament",FALSE,1500000,"English","Paramount Global",2044892,90,4
"2717",21291,"Dad",FALSE,1.9e+07,"English","NBCUniversal",19738015,117,4
"2718",21294,"The Amateur",FALSE,1e+07,"English","Smaller company",6892098,112,2
"2719",21297,"Wake Up Sid",FALSE,3e+06,"India","Smaller company",1.1e+07,138,1
"2720",21301,"Barbershop 2:  Back in Business",TRUE,1.8e+07,"English","Smaller company",65070412,106,7
"2721",21334,"بچه‌های آسمان",FALSE,180000,"Asia","Smaller company",9e+05,89,0
"2722",21345,"南京!南京!",FALSE,1.2e+07,"Asia","Smaller company",10652498,132,0
"2723",21349,"Anywhere But Here",FALSE,2.3e+07,"English","The Walt Disney Studios",18653615,114,6
"2724",21407,"The Collector",TRUE,3400000,"English","Smaller company",1.14e+08,88,1
"2725",21525,"Tupac: Resurrection",FALSE,3e+05,"English","Paramount Global",7808524,112,0
"2726",21539,"The Preacher's Wife",FALSE,4e+07,"English","The Walt Disney Studios",48093211,124,4
"2727",21570,"Rangeela",FALSE,2800000,"India","Smaller company",1.4e+07,175,1
"2728",21610,"Nighthawks",FALSE,5e+06,"English","NBCUniversal",19905359,99,2
"2729",21612,"The Funeral",FALSE,12500000,"English","Smaller company",1227324,99,5
"2730",21755,"The Brothers Bloom",FALSE,2e+07,"English","Smaller company",5530764,114,4
"2731",21778,"RRRrrrr!!!",FALSE,17820000,"Europe","Smaller company",14054361,94,0
"2732",21879,"The Hollywood Knights",FALSE,2500000,"English","NBCUniversal",1e+07,91,1
"2733",21905,"Shabd",FALSE,2500000,"English","Smaller company",3100000,0,0
"2734",22067,"Jason's Lyric",FALSE,7e+06,"English","Smaller company",20851521,119,3
"2735",22074,"Capitalism: A Love Story",FALSE,2e+07,"English","Smaller company",17436509,120,1
"2736",22189,"Havana",FALSE,4e+07,"English","NBCUniversal",9243140,144,4
"2737",22215,"Chéri",FALSE,2.3e+07,"English","Smaller company",9366227,86,3
"2738",22256,"Without Limits",FALSE,2.5e+07,"English","Smaller company",777423,117,7
"2739",22267,"Ride with the Devil",FALSE,3.8e+07,"English","NBCUniversal",635096,138,6
"2740",22279,"An Awfully Big Adventure",FALSE,4e+06,"English","Warner Bros. Entertainment",851545,113,3
"2741",22309,"The Fighting Temptations",FALSE,1.5e+07,"English","Paramount Global",30238577,122,2
"2742",22314,"In Too Deep",FALSE,7e+06,"English","Smaller company",14011454,97,6
"2743",22315,"Aitraaz",FALSE,3500000,"India","Smaller company",9250000,159,2
"2744",22345,"Baby Geniuses",FALSE,1.2e+07,"English","Sony Pictures Entertainment",36450736,97,4
"2745",22414,"Postcards from the Edge",FALSE,2.2e+07,"English","Sony Pictures Entertainment",39071603,101,7
"2746",22538,"Scott Pilgrim vs. the World",FALSE,6e+07,"English","NBCUniversal",47664559,112,8
"2747",22556,"The Yellow Handkerchief",FALSE,1.5e+07,"English","Smaller company",317000,102,3
"2748",22586,"The Swan Princess",TRUE,3.5e+07,"English","Smaller company",9771658,89,1
